top - 11:40:14 up 4 days, 14:29,  2 users,  load average: 0.63, 0.56, 0.49
Threads: 296 total,   1 running, 295 sleeping,   0 stopped,   0 zombie
%Cpu(s): 44.7 us,  1.5 sy,  0.0 ni, 53.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  32723396 total, 32452020 used,   271376 free,   482144 buffers
KiB Swap:  8388604 total,    55952 used,  8332652 free. 11876896 cached Mem

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
106242 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.77 java
106243 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:06.37 java
106244 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:06.29 java
106245 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.13 java
106246 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.43 java
106247 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.40 java
106248 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.51 java
106249 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.97 java
106250 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.51 java
106251 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.64 java
106252 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.88 java
106254 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.46 java
106256 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.64 java
106257 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:05.82 java
106258 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:02.02 java
106259 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.99 java
106260 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:00.32 java
106261 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:01.87 java
106262 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:04.17 java
106263 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:55.55 java
106264 bppbjira  20   0 22.069g 0.015t 772788 S 0.000 48.88   0:50.68 java
