top - 15:10:23 up 27 days, 12:51,  1 user,  load average: 8.91, 8.91, 9.00
Threads: 695 total,  12 running, 683 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.6 us,  0.7 sy,  0.0 ni, 91.4 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem : 26403688+total, 13389056+free, 46825504 used, 83320816 buff/cache
KiB Swap:  5996540 total,  5996540 free,        0 used. 21317566+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 20041 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   4:58.34 java
 30678 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.16 java
 30679 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 30724 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   5:06.78 java
 30767 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:35.89 java
 30768 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 30785 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:50.56 java
 30795 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:11.74 java
 32291 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 32292 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:37.93 java
 32434 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 32441 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:09.42 java
 32866 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 32884 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 34808 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   8:36.64 java
 36817 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:02.50 java
 37105 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:07.50 java
 38616 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.04 java
 39771 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 39772 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.79 java
 40752 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 40762 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 40839 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   4:43.42 java
 40842 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  11:10.00 java
 40846 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   6:21.20 java
 40847 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   4:41.16 java
 40851 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   6:32.06 java
 40852 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   9:00.64 java
 40856 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  10:09.80 java
 40857 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  10:31.99 java
 40858 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   6:33.75 java
 40862 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:30.30 java
 57296 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:30.24 java
 57305 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:27.44 java
 57306 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:26.90 java
 57307 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:26.69 java
 57308 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:27.06 java
 57309 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:29.98 java
 57311 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:28.80 java
 57314 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:26.46 java
 57315 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:26.66 java
 57316 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:26.60 java
 57317 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:27.03 java
 57885 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:06.40 java
 58345 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:55.81 java
 58395 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:28.54 java
 58399 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:27.22 java
 58400 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:27.46 java
 58402 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:28.25 java
 58404 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:27.63 java
 58405 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:27.34 java
 58406 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:26.92 java
 58407 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:27.14 java
 58408 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:26.72 java
 58409 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:27.11 java
 58410 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:26.85 java
 60764 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:16.10 java
 60769 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.85 java
 62068 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 913:32.28 java
 62093 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
 64196 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:30.07 java
 64953 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:12.98 java
 65671 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:07.58 java
 79235 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:04.81 java
 91676 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  18:51.71 java
 91682 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   5:44.73 java
 92505 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:17.91 java
 92530 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.45 java
 93062 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:09.38 java
 93090 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.85 java
 93109 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.85 java
 97265 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   6:20.08 java
 97266 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.22 java
103079 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.85 java
106917 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.75 java
109790 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
109813 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.11 java
111117 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.91 java
112384 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  90:17.73 java
112385 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:29.29 java
114912 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.02 java
115255 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.11 java
118373 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:04.80 java
119296 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  12:19.00 java
119301 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 337:17.11 java
119306 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 127:23.93 java
120100 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.04 java
120214 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.08 java
125491 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.92 java
129733 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:56.63 java
129734 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:53.44 java
129939 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.65 java
135220 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  30:42.72 java
135301 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:15.76 java
135789 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   7:34.79 java
135790 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:36.73 java
140870 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.04 java
140874 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.00 java
140896 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:10.39 java
140963 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 221:22.84 java
141722 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.05 java
143067 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  26:20.61 java
143068 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.01 java
148922 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.07 java
148923 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.06 java
148924 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.07 java
150226 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   2:57.48 java
152103 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 158:41.94 java
152104 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 150:27.00 java
152105 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 148:24.06 java
152106 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 145:35.37 java
152642 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  45:38.70 java
152674 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  54:47.07 java
152715 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4 736:40.04 java
152726 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  26:23.18 java
152727 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4  26:25.44 java
152729 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:33.81 java
152730 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:43.91 java
153486 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:03.23 java
153488 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   1:09.89 java
153494 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   4:35.05 java
153495 jira      20   0 60.196g 0.038t 4.782g S  0.0 15.4   0:00.08 java
